off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,203402,201477,1628263,1628269,2
1628932,203402,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,1627675,202662,203015,1628932,203402,201477,1628263,1628269,3
1628932,203402,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,203402,201477,1628263,1628269,2
1628932,203402,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,203402,201477,1628263,1628269,0
1628932,203402,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628269,0
1628932,1628905,203830,1628917,1628269,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628269,2
1628932,1628905,203830,1628917,1628269,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628269,0
1628932,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,2
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628913,2
1628932,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628913,2
1628932,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628913,2
1628932,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,1628932,1628905,203830,1628917,1628913,2
1628932,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,0
203823,203826,203410,202662,1627673,202670,1628905,203830,1628917,1628913,0
202670,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,1
203823,203826,203410,202662,1627673,202670,1628905,203830,1628917,1628913,0
202670,1628905,203830,1628917,1628913,203823,203826,203410,202662,1627673,0
203410,1627673,203826,1627670,202662,202670,203402,201477,1628913,1628263,3
202670,203402,201477,1628913,1628263,203410,1627673,203826,1627670,202662,0
203410,1627673,203826,1627670,202662,202670,203402,201477,1628913,1628263,0
202670,203402,201477,1628913,1628263,203410,1627673,203826,1627670,202662,0
203410,1627673,203826,1627670,202662,202670,203402,201477,1628913,1628263,0
202670,203402,201477,1628913,1628263,203410,1627673,203826,1627670,202662,0
203410,1627673,203826,1627670,1627675,202670,203402,201477,1628269,1628263,2
202670,203402,201477,1628269,1628263,203410,1628280,203826,1627670,1627675,2
203410,1628280,203826,1627670,1627675,202670,203402,201477,1628269,1628263,2
202670,1628932,201477,1628269,1628263,203410,1628280,203826,1627670,1627675,1
203410,1628280,203826,1627670,1627675,202670,1628932,201477,1628269,1628263,2
202670,1628932,201477,1628269,1628263,203410,1628280,203826,1627670,1627675,0
203410,1628280,203826,1627670,1627675,202670,1628932,201477,1628269,1628263,0
202670,1628932,201477,1628269,1628263,203410,1628280,203826,1627670,1627675,0
203410,1628280,203826,1627670,1627675,202670,1628932,201477,1628269,1628263,1
202670,1628932,201477,1628269,1628263,203410,203015,203823,1627670,1627675,1
203410,203015,203823,1627670,1627675,202670,1628932,201477,1628269,1628263,3
202670,1628932,201477,1628269,1628263,203410,203015,1627673,1627670,1627675,1
203410,203015,1627673,1627670,1627675,202670,1628932,201477,1628269,1628263,2
202670,1628932,201477,1628269,1628263,203410,203015,1627673,1627670,1627675,0
203410,203015,1627673,1627670,1627675,202670,1628932,201477,1628269,1628263,0
202670,1628932,1628913,1628269,1628263,203410,203015,1627673,1627670,1627675,2
203410,203015,1627673,203826,1627675,1628917,1628932,1628913,1628269,1628263,0
1628917,1628932,1628913,1628269,1628263,202662,203015,1627673,203826,1627675,0
202662,203015,1627673,203826,1627675,1628917,1628932,1628913,1628269,1628263,0
1628917,1628932,1628913,1628269,1628263,202662,203015,1627673,203826,1627675,0
202662,203015,1627673,203826,1627675,1628917,1628932,1628913,1628269,1628263,2
1628917,1628932,1628913,1628269,1628263,202662,203015,1627673,203826,1627675,0
